2026-09-17T00:33:09.538646	DEBUG	server/main.go:63	application time zone	{"zone": "Europe/Moscow"}
2026-09-17T00:33:09.539707	DEBUG	server/main.go:66	initializing postgres connection pool
2026-09-17T00:33:09.551941	DEBUG	server/main.go:74	initializing redis client
2026-09-17T00:33:09.556841	DEBUG	server/main.go:151	initializing http server
2026-09-17T00:33:09.557101	WARN	server/server.go:44	start HTTP server	{"addr": ":8080"}
2026-09-17T00:33:14.351572	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "dc57ba78-6864-40f6-a475-4e2cc5c7d4e3", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:14.351571"}
2026-09-17T00:33:14.426866	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "dc57ba78-6864-40f6-a475-4e2cc5c7d4e3", "url": "/api/v1/auth/register", "HTTP Response status code": 201, "latency": "75.294167ms"}
2026-09-17T00:33:18.043232	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "609ff5e8-e725-4e28-8724-83951667167c", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:18.043231"}
2026-09-17T00:33:18.109021	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "609ff5e8-e725-4e28-8724-83951667167c", "url": "/api/v1/auth/register", "HTTP Response status code": 201, "latency": "65.790042ms"}
2026-09-17T00:33:18.117485	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "23854b5b-717e-445b-9767-8b0243f7446b", "url": "/api/v1/users/me", "http_method": "GET", "time": "2026-09-16T21:33:18.117485"}
2026-09-17T00:33:18.119406	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "23854b5b-717e-445b-9767-8b0243f7446b", "url": "/api/v1/users/me", "HTTP Response status code": 200, "latency": "1.92125ms"}
2026-09-17T00:33:18.125040	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "7989f04b-3046-4bf3-886e-d26adef7ba1e", "url": "/api/v1/tasks", "http_method": "POST", "time": "2026-09-16T21:33:18.125039"}
2026-09-17T00:33:18.125102	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "7989f04b-3046-4bf3-886e-d26adef7ba1e", "url": "/api/v1/tasks", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:18.125314	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "7989f04b-3046-4bf3-886e-d26adef7ba1e", "url": "/api/v1/tasks", "HTTP Response status code": 500, "latency": "274.625µs"}
2026-09-17T00:33:18.131976	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "c5aa3f0a-8da4-4bd6-9b57-b3ebf301ccbc", "url": "/api/v1/tasks", "http_method": "GET", "time": "2026-09-16T21:33:18.131976"}
2026-09-17T00:33:18.132040	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "c5aa3f0a-8da4-4bd6-9b57-b3ebf301ccbc", "url": "/api/v1/tasks", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:18.132053	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "c5aa3f0a-8da4-4bd6-9b57-b3ebf301ccbc", "url": "/api/v1/tasks", "HTTP Response status code": 500, "latency": "76.958µs"}
2026-09-17T00:33:35.554420	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "9add0721-895f-414a-8471-a1795e474bc1", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:35.554418"}
2026-09-17T00:33:35.554575	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "9add0721-895f-414a-8471-a1795e474bc1", "url": "/api/v1/auth/register", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:35.554617	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "9add0721-895f-414a-8471-a1795e474bc1", "url": "/api/v1/auth/register", "HTTP Response status code": 500, "latency": "198.5µs"}
2026-09-17T00:33:35.591545	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "946b28d1-273b-4425-a999-40ce74694700", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:35.591543"}
2026-09-17T00:33:35.643480	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "946b28d1-273b-4425-a999-40ce74694700", "url": "/api/v1/auth/register", "HTTP Response status code": 201, "latency": "51.935834ms"}
2026-09-17T00:33:35.650213	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "dc8bfa27-2882-4a0d-b478-2091b362ae30", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T21:33:35.650213"}
2026-09-17T00:33:35.651217	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "dc8bfa27-2882-4a0d-b478-2091b362ae30", "url": "/api/v1/auth/register", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:35.651237	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "dc8bfa27-2882-4a0d-b478-2091b362ae30", "url": "/api/v1/auth/register", "HTTP Response status code": 500, "latency": "1.023583ms"}
2026-09-17T00:33:35.657069	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "f7b5645e-b253-48a6-8308-799aaa20c2cc", "url": "/api/v1/auth/login", "http_method": "POST", "time": "2026-09-16T21:33:35.657068"}
2026-09-17T00:33:35.703658	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "f7b5645e-b253-48a6-8308-799aaa20c2cc", "url": "/api/v1/auth/login", "HTTP Response status code": 200, "latency": "46.589083ms"}
2026-09-17T00:33:35.710211	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "63dc0a6a-03ec-4ad7-8687-1784ab1646fd", "url": "/api/v1/auth/login", "http_method": "POST", "time": "2026-09-16T21:33:35.710210"}
2026-09-17T00:33:35.754810	ERROR	response/handler.go:62	during handle HTTP request got unexpected panic	{"request_id": "63dc0a6a-03ec-4ad7-8687-1784ab1646fd", "url": "/api/v1/auth/login", "error": "unexpected panic: runtime error: invalid memory address or nil pointer dereference"}
2026-09-17T00:33:35.754847	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "63dc0a6a-03ec-4ad7-8687-1784ab1646fd", "url": "/api/v1/auth/login", "HTTP Response status code": 500, "latency": "44.636958ms"}
2026-09-17T00:33:35.761101	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "cc76e023-82b0-48e6-9f29-b64b06fa37d3", "url": "/api/v1/users/me", "http_method": "GET", "time": "2026-09-16T21:33:35.761101"}
2026-09-17T00:33:35.761141	WARN	response/handler.go:54	authorization header required	{"request_id": "cc76e023-82b0-48e6-9f29-b64b06fa37d3", "url": "/api/v1/users/me", "error": "unauthorized"}
2026-09-17T00:33:35.761165	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "cc76e023-82b0-48e6-9f29-b64b06fa37d3", "url": "/api/v1/users/me", "HTTP Response status code": 401, "latency": "63.709µs"}
2026-09-17T00:33:35.767009	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "32b2af40-bdac-440d-8947-6d5c4a18ecac", "url": "/api/v1/users/me", "http_method": "GET", "time": "2026-09-16T21:33:35.767009"}
2026-09-17T00:33:35.767047	WARN	response/handler.go:54	invalid authorization header format	{"request_id": "32b2af40-bdac-440d-8947-6d5c4a18ecac", "url": "/api/v1/users/me", "error": "unauthorized"}
2026-09-17T00:33:35.767060	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "32b2af40-bdac-440d-8947-6d5c4a18ecac", "url": "/api/v1/users/me", "HTTP Response status code": 401, "latency": "51.084µs"}
2026-09-17T00:33:35.772510	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "e858ec1c-5a47-44de-8a7a-b91a713db3cc", "url": "/api/v1/tasks", "http_method": "POST", "time": "2026-09-16T21:33:35.772510"}
2026-09-17T00:33:35.772532	WARN	response/handler.go:54	authorization header required	{"request_id": "e858ec1c-5a47-44de-8a7a-b91a713db3cc", "url": "/api/v1/tasks", "error": "unauthorized"}
2026-09-17T00:33:35.772542	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "e858ec1c-5a47-44de-8a7a-b91a713db3cc", "url": "/api/v1/tasks", "HTTP Response status code": 401, "latency": "31.875µs"}
2026-09-17T00:33:35.778938	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "c691ab62-7687-4b03-a9ba-f2dc32bde885", "url": "/api/v1/tasks", "http_method": "POST", "time": "2026-09-16T21:33:35.778938"}
2026-09-17T00:33:35.778973	WARN	response/handler.go:54	invalid authorization header format	{"request_id": "c691ab62-7687-4b03-a9ba-f2dc32bde885", "url": "/api/v1/tasks", "error": "unauthorized"}
2026-09-17T00:33:35.778986	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "c691ab62-7687-4b03-a9ba-f2dc32bde885", "url": "/api/v1/tasks", "HTTP Response status code": 401, "latency": "47.584µs"}
2026-09-17T00:33:35.785095	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "b39431b9-5831-41b7-ace9-882874e772e5", "url": "/api/v1/events", "http_method": "POST", "time": "2026-09-16T21:33:35.785094"}
2026-09-17T00:33:35.785125	WARN	response/handler.go:54	invalid authorization header format	{"request_id": "b39431b9-5831-41b7-ace9-882874e772e5", "url": "/api/v1/events", "error": "unauthorized"}
2026-09-17T00:33:35.785136	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "b39431b9-5831-41b7-ace9-882874e772e5", "url": "/api/v1/events", "HTTP Response status code": 401, "latency": "41.625µs"}
2026-09-17T00:33:35.790808	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "cf5dd906-aa2e-4997-bfa8-b6beaa827115", "url": "/api/v1/reports/daily", "http_method": "GET", "time": "2026-09-16T21:33:35.790808"}
2026-09-17T00:33:35.790836	WARN	response/handler.go:54	invalid authorization header format	{"request_id": "cf5dd906-aa2e-4997-bfa8-b6beaa827115", "url": "/api/v1/reports/daily", "error": "unauthorized"}
2026-09-17T00:33:35.790849	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "cf5dd906-aa2e-4997-bfa8-b6beaa827115", "url": "/api/v1/reports/daily", "HTTP Response status code": 401, "latency": "40.666µs"}
2026-09-17T00:33:35.796384	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "b760a0e9-5fe1-46ca-8fce-51fdefb1c557", "url": "/api/v1/reports/daily?date=2026-09-16", "http_method": "GET", "time": "2026-09-16T21:33:35.796383"}
2026-09-17T00:33:35.796411	WARN	response/handler.go:54	invalid authorization header format	{"request_id": "b760a0e9-5fe1-46ca-8fce-51fdefb1c557", "url": "/api/v1/reports/daily?date=2026-09-16", "error": "unauthorized"}
2026-09-17T00:33:35.796422	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "b760a0e9-5fe1-46ca-8fce-51fdefb1c557", "url": "/api/v1/reports/daily?date=2026-09-16", "HTTP Response status code": 401, "latency": "39.333µs"}
2026-09-17T00:33:35.802367	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "61b0b4f0-f47f-44af-af19-69fc307077a4", "url": "/api/v1/reminders/settings", "http_method": "GET", "time": "2026-09-16T21:33:35.802366"}
2026-09-17T00:33:35.802393	WARN	response/handler.go:54	invalid authorization header format	{"request_id": "61b0b4f0-f47f-44af-af19-69fc307077a4", "url": "/api/v1/reminders/settings", "error": "unauthorized"}
2026-09-17T00:33:35.802406	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "61b0b4f0-f47f-44af-af19-69fc307077a4", "url": "/api/v1/reminders/settings", "HTTP Response status code": 401, "latency": "39.25µs"}
